,cv_predicted,brand,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width
1755,girly,Mango,VAINILLA,A ,summer-dresses,49.99,off-white,,,,,"82% viscose, 18% polyamide",,"Do not tumble dry, Hand wash only",,,,,Crew neck,Plain,,M9121C5L8-A11,Long,Short,,Slim Fit,,
1756,classic,Saint Tropez,LOTTE DRESS , Day dress,summer-dresses,69.99,off-white,,,Denim,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Peter Pan collar,,,Button,,Plain,Bust darts,S2821C0EJ-A11,Calf-length,"22.5 "" (Size S)","43.0 "" (Size S)",Loose Fit,,"15.5 "" (Size S)"
1757,girly,Sixth June,SPIRAL DRESS , Day dress,summer-dresses,29.99,bright multi-coloured,,,Rib,,"97% cotton, 3% elastane",,Machine wash at 30°C,,,,,Crew neck,,,SIB21C00X-K11,Extra short,Sleeveless,"32.5 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",
1758,girly,Miss Sixty,Day dress,,summer-dresses,189.99,white,,,Tulle,,100% polyester,100% polyester,,,,,Button,Crew neck,Plain,"Slip, sequins",MI321C04N-A11,Extra short,"23.5 "" (Size XS)","33.5 "" (Size XS)",Slim Fit,"Our model is 5' 10""  tall and is wearing size XS",
1759,classic,Lauren Ralph Lauren,METALLIC JERSEY DRESS , Cocktail dress / Party dress,Cocktail Dresses,199.99,gold,"95% polyester, 5% elastane",,Jersey,,"95% polyester, 5% elastane",100% polyester,"Hand wash only, do not tumble dry",,,,Zip,Cache-coeur,,,L4221C1BC-Q11,Short,"23.0 "" (Size 10)","38.0 "" (Size 10)",Regular Fit,,
1760,girly,Faithfull the brand,ZUMA MINI DRESS , Day dress,summer-dresses,210.0,pastel purple,,,,,100% linen,100% viscose,Hand wash only,,,,,Square neck,Print,,F0O21C01O-I11,Short,Spaghetti straps,"34.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
1761,alternative,MUNTHE,CELIZ , Day dress,summer-dresses,349.99,white multi-coloured,,,,,100% silk,,"Hand wash only, Dry cleanable",,,,Button,Crew neck,Floral,Border,MUO21C00O-A11,Calf-length,Short,"45.5 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
1762,girly,Closet,LONDON WRAP SLIP DRESS , Cocktail dress / Party dress,Cocktail Dresses,89.99,pastel green,,,Satin,,"97% polyester, 3% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Cache-coeur,Polka dot,Adjustable straps,CL921C0TQ-M11,Knee-length,Spaghetti straps,"27.0 "" (Size 10)",Slim Fit,,"15.5 "" (Size 10)"
1763,classic,ModstrÃ¶m,NEELA PRINT DRESS , Day dress,summer-dresses,89.99,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Henley,Polka dot,Bust darts,MO421C08H-Q11,Short,"25.5 "" (Size S)","36.5 "" (Size S)",Regular Fit,,"13.5 "" (Size S)"
1764,classic,Vila,VIEDEE DRESS , Day dress,summer-dresses,33.99,black,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",,,,Laces,Low-cut v-neck,Plain,"Adjustable straps, slip, border",V1021C2X9-Q11,Short,"26.0 "" (Size 8)","38.0 "" (Size 8)",Loose Fit,,"14.5 "" (Size 8)"
1765,casual chic,Desigual,VEST GINGY , Day dress,summer-dresses,144.99,army green,,,,,"53% viscose, 37% polyester, 10% lyocell",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,,,"Crochet Detailing, embroidery",DE121C0YD-M11,Calf-length,Short,"46.5 "" (Size M)",Regular Fit,"Our model is 5' 10""  tall and is wearing size M","14.5 "" (Size M)"
1766,trendy,ONLY Tall,ONLDAYA STRAP DRESS , Day dress,summer-dresses,25.99,green,,,Satin,,100% polyester,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,Backless,Print,,OND21C07Z-M11,Knee-length,Spaghetti straps,"37.0 "" (Size 8)",Regular Fit,,
1767,alternative,KnowledgeCotton Apparel,HEATHER A SHAPE PLEATED FLOWER PRINT DRESS , Day dress,summer-dresses,139.99,orange,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Floral,,KN221C00C-G11,Calf-length,"25.0 "" (Size S)","45.5 "" (Size S)",Regular Fit,,"14.0 "" (Size S)"
1768,trendy,Calvin Klein Jeans,STRAPPY TWISTED DRESS , Day dress,summer-dresses,64.99,red,,,Rib,,"93% viscose, 7% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Plain,"Adjustable straps, embroidery",C1821C0A9-G11,Knee-length,"Spaghetti straps, sleeveless","38.5 "" (Size S)",Bodycon,,
1769,unknown,WAL G.,LIN DRESS , Cocktail dress / Party dress,Cocktail Dresses,45.99,dusty pink,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30°C",,,,Zip,Low-cut v-neck,Plain,Padded bust,WG021C0PP-I11,Long,Extra short,"59.0 "" (Size 10)",Slim Fit,"Our model is 5' 9""  tall and is wearing size 10",
1770,sporty,Ragwear,MENITA , Day dress,summer-dresses,54.99,black,,,Sweat,,"50% polyester, 50% cotton",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,"Inseam pockets, elasticated waist, decorative buttons",R5921C0B8-Q11,Short,"25.0 "" (Size S)","36.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S",
1771,alternative,Roxy,SUMMER OF SUN , Day dress,summer-dresses,54.99,pastel blue,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Low-cut v-neck,Floral,,RO521C065-K11,Short,Short,"38.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
1772,edgy,MAX&Co.,DACIA , Day dress,summer-dresses,174.99,black,,,Faux leather,,100% polyester,,Hand wash only,,,,,Crew neck,Plain,"Inseam pockets, bust darts",MQ921C0BW-Q11,Short,"23.0 "" (Size S)","34.5 "" (Size S)",Regular Fit,,"13.0 "" (Size S)"
1773,edgy,Noisy May Curve,NMHAILEY DRESS CURVE , Day dress,summer-dresses,23.99,black,,,Jersey,,"95% cotton, 5% elastane",,Machine wash at 40°C,,,,,Crew neck,Plain,,NOY21C00Y-Q11,Knee-length,"23.0 "" (Size 18)","37.5 "" (Size 18)",Regular Fit,,
1774,edgy,KOCHÃ‰,COMFY CULTURE , Day dress,summer-dresses,374.99,black,,,Sweat,,"78% viscose, 18% polyamide, 4% elastane",,Hand wash only,,,,,Crew neck,Print,,KOJ21C006-Q11,Short,Elbow length,"32.5 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S",
1775,classic,EDITED,IDALIA DRESS , Day dress,summer-dresses,43.99,black/white,,,Rib,,"96% viscose, 4% elastane",,"Do not tumble dry, machine wash at 30°C",Standing collar,,,,,Striped,,EDD21C0JB-Q11,Short,"23.5 "" (Size 8)","33.0 "" (Size 8)",Bodycon,"Our model is 5' 9""  tall and is wearing size 8",
1776,casual chic,Cult Gaia,RORY DRESS , Cocktail dress / Party dress,Cocktail Dresses,460.0,black,,,,,100% linen,,Dry clean only,,,,Zip,,Plain,Adjustable straps,CUI21C00M-Q11,Calf-length,Spaghetti straps,"53.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.0 "" (Size S)"
1777,edgy,JDY,Day dress,,summer-dresses,23.99,brown,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Zip,Crew neck,Print,,JY121C0MS-O11,Short,Short,"35.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)"
1778,casual chic,Diane von Furstenberg,GANESA DRESS , Cocktail dress / Party dress,Cocktail Dresses,335.0,black multi-coloured,,,Tulle,Semi-sheer,100% nylon,100% nylon,Dry clean only,,,,,Off-the-shoulder,Floral,Slip,DF221C0CG-Q11,Calf-length,"21.5 "" (Size S)","49.5 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",
1779,alternative,JDY,JDYSANNA COLOUR DRESS , Day dress,summer-dresses,34.99,army green,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",Turn-down collar,,,Button,,Plain,Belt included,JY121C0R6-N11,Short,"23.0 "" (Size S)","35.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)"
1780,alternative,Missguided,SLINKY ONE SHOULDER CUT OUT MINI DRESS , Cocktail dress / Party dress,Cocktail Dresses,24.99,brown,,,Jersey,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,,Plain,,M0Q21C241-O11,Short,"20.5 "" (Size 8)","32.5 "" (Size 8)",Bodycon,,
1781,girly,JDY,JDYSTARR , Day dress,summer-dresses,21.99,black,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,Button,Backless,Floral,Belt included,JY121C0DB-Q11,Knee-length,Short,"41.5 "" (Size 8)",Fitted waist,"Our model is 5' 10""  tall and is wearing size 8",
1782,edgy,Anna Field,Cocktail dress / Party dress,,Cocktail Dresses,21.69,black,,,Jersey,,"68% viscose, 28% polyester, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Backless,Plain,Bust darts,AN621C1Q2-Q11,Calf-length,Sleeveless,"43.0 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",
1783,girly,Patrizia Pepe,ABITO , Cocktail dress / Party dress,Cocktail Dresses,359.99,orange,,,Knit,,"69% viscose, 18% polyamide, 13% polyester",,"Hand wash only, Dry clean only",,,,,Low-cut v-neck,Marl,,P1421C0IS-H11,Knee-length,"26.0 "" (Size 10)","38.0 "" (Size 10)",Slim Fit,,
1784,girly,Jarlo,EMMA , Occasion wear,Occasion dresses,159.99,pastel purple,,,,,100% polyester,"98% polyester, 2% elastane","Do not tumble dry, Do not wash",,,,Zip,Backless,Plain,Slip,J3121C080-I11,Long,"Sleeveless, spaghetti straps","54.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
1785,classic,Tiger of Sweden,VALONA , Day dress,summer-dresses,299.99,grey,,,Satin,,"66% viscose, 34% cotton",,"Do not tumble dry, Hand wash only",Standing collar,,,Zip,,Plain,,TI521C08K-K11,Calf-length,Short,"46.0 "" (Size 8)",Regular Fit,,
1786,sporty,Ellesse,HONEY DRESS , Day dress,summer-dresses,49.99,pastel pink,,,Sweat,,"80% cotton, 20% polyester",,"Do not tumble dry, machine wash at 30°C",Hood,,Hoodie pocket,,,Plain,"Elasticated waist, embroidery",EL921C01Q-J11,Short,"27.5 "" (Size 10)","32.0 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10",
1787,casual chic,Fashion Union,LUNAR , Cocktail dress / Party dress,Cocktail Dresses,34.99,black,,,Satin,,"92% polyester, 8% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Cache-coeur,Print,Slip,FAA21C0FA-T11,Short,Long,,Regular Fit,,
1788,trendy,BOSS,Day dress,,summer-dresses,199.99,green,,,,,100% viscose,,,,,,Laces,V-neck,Print,,BB121C0CP-S11,Knee-length,Long,,Regular Fit,,
1789,edgy,RIANI,Day dress,,summer-dresses,269.99,black,,,,,100% cotton,100% polyester,,Contrasting collar,,,Zip,,Plain,"Slip, bow",RIJ21C03Z-Q11,Short,"21.5 "" (Size 10)","33.5 "" (Size 10)",Loose Fit,,
1790,trendy,Esprit Collection,Cocktail dress / Party dress,,Cocktail Dresses,104.99,pastel green,,,,,100% viscose,100% viscose,Machine wash at 30°C,Standing collar,,,Zip,,Floral,"Slip, decorative buttons",ES421C1JY-M11,Long,Sleeveless,"58.5 "" (Size 10)",Regular Fit,,"18.0 "" (Size 10)"
1791,edgy,CLOSED,MILLIE , Day dress,summer-dresses,209.99,black,,,,,100% polyester,,,,,,Zip,Crew neck,Plain,,CL321C02B-M11,Knee-length,"21.0 "" (Size S)","40.5 "" (Size S)",Loose Fit,,
1792,girly,Custommade,LENI , Day dress,summer-dresses,294.99,white multi-coloured,,,,,"61% polyester, 39% polyamide","95% viscose, 5% elastane",,,,,Button,Crew neck,Floral,"Bust darts, button row, slip, rhinestones",CU721C035-A11,Short,"25.0 "" (Size S)","32.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","15.0 "" (Size S)"
1793,classic,GAP,CAP SLEEVE BUTTON FRONT , Day dress,summer-dresses,46.74,black,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Low-cut v-neck,Plain,Button row,GP021C0KW-Q11,Short,Short,"32.5 "" (Size 6)",Regular Fit,,"14.0 "" (Size 6)"
1794,girly,Nly by Nelly,TIMELESS BEAUTY DRESS , Cocktail dress / Party dress,Cocktail Dresses,79.99,white,100% polyester,,"Lace, chiffon",,100% polyester,100% polyester,Hand wash only,,,,Zip,Crew neck,Plain,"Bust darts, slip, bow",NEG21C0IO-K11,Long,Spaghetti straps,"61.0 "" (Size 8)",Slim Fit,,"8.5 "" (Size 8)"
1795,edgy,2nd Day,HARVEST  , Day dress,summer-dresses,344.99,black,,,,,100% leather,100% polyester,Clean with leather care products,,,,Zip,Crew neck,Plain,,S3821C05Q-Q11,Extra short,Elbow length,"36.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)"
1796,edgy,Mango,PAPER , Day dress,summer-dresses,39.99,electric blue,,,,,100% polyester,,"Do not tumble dry, machine wash at 30°C, Dry cleanable",,,,Zip,Crew neck,Print,Zip fastening,M9121C5H0-K11,Extra short,Long,,Regular Fit,,
1797,trendy,NA-KD,BELTED DRESS , Day dress,summer-dresses,49.99,white,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Turn-down collar,,,Button,,Plain,Belt included,NAA21C0RO-B11,Short,"25.0 "" (Size 8)","34.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","17.5 "" (Size 8)"
1798,girly,Marimekko,HAAVEELLINEN TARHA DRESS , Day dress,summer-dresses,239.99,navy,,,,Semi-sheer,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Low-cut v-neck,Print,Inseam pockets,M4K21C04R-K11,Calf-length,Elbow length,"44.5 "" (Size 10)",Oversized,,"15.0 "" (Size 10)"
1799,classic,Vero Moda Maternity,VMMNISADALE SHORT DRESS , Day dress,summer-dresses,26.34,black,,,Rib,,"65% cotton, 35% nylon",,"Do not tumble dry, machine wash at 30°C",,,,,Square neck,Plain,,VE129F00W-Q11,Short,"24.5 "" (Size S)","36.5 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",
1800,girly,Esprit Collection,Cocktail dress / Party dress,,Cocktail Dresses,,white,,,Chiffon,Semi-sheer,100% polyester,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Crew neck,Plain,Rhinestones,ES421C1JK-K11,Calf-length,Elbow length,"46.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","14.0 "" (Size 10)"
1801,girly,Swing,Cocktail dress / Party dress,,Cocktail Dresses,129.99,grey,,,Tulle,,100% polyester,"97% polyester, 3% elastane",,,,,Zip,Low-cut v-neck,Plain,"Slip, sequins",SG721C0E7-D11,Short,Sleeveless,"35.5 "" (Size 10)",,"Our model is 5' 10""  tall and is wearing size 10",
1802,trendy,Vero Moda,VMWILLOW SQUAREHEART DRESS , Day dress,summer-dresses,34.99,black,,,Rib,,"77% viscose, 23% polyester",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Square neck,Plain,,VE121C38Z-Q11,Knee-length,"24.5 "" (Size S)","40.0 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",
1803,trendy,Vero Moda,VMDINO CALF DRESS , Day dress,summer-dresses,43.99,pastel green,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, Dry cleanable, Machine wash on gentle cycle, Do not bleach",Standing collar,,,Button,,Floral,,VE121C37H-M11,Knee-length,"17.5 "" (Size S)","44.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
1804,trendy,Pinko,DICOMANO DRESS , Day dress,summer-dresses,279.99,bright multi-coloured,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C",Standing collar,,,Zip,,Print,,P6921C0BO-T11,Short,"23.5 "" (Size 8)","35.5 "" (Size 8)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)"
1805,edgy,MAMALICIOUS,Day dress,,summer-dresses,33.99,black,,,,,"70% viscose, 30% nylon",,"Do not tumble dry, machine wash at 30°C",Standing collar,,,,,Striped,,M6429F0P3-K11,Knee-length,Long,,Normal fit,,
1806,girly,Mascara,Occasion wear,,Occasion dresses,199.99,white,,,Tulle,,100% polyester,100% polyester,Dry clean only,,,,Zip,Backless,,"Slip, sequins, rhinestones, embroidery",M0921C0E0-A11,Long,Spaghetti straps,"48.0 "" (Size 8)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 8",
1807,girly,Lace & Beads,CLARITY  , Occasion wear,Occasion dresses,74.99,pastel pink,,,Tulle,,100% polyester,100% polyester,"Do not tumble dry, Hand wash only",,,,Zip,Crew neck,Plain,Slip,LS721C0GU-B11,Long,Spaghetti straps,"58.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)"
1808,girly,2nd Day,ALETTA REFINED , Day dress,summer-dresses,139.99,grey,,,,Semi-sheer,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Button,Crew neck,Checked,Slip,S3821C065-A11,Knee-length,"25.5 "" (Size 8)","39.0 "" (Size 8)",Regular Fit,,"14.0 "" (Size 8)"
1809,girly,Forever New,MIKAYLA DRESS , Day dress,summer-dresses,99.99,white multi-coloured,,,,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,Zip,Cache-coeur,Floral,"Belt included, slip",FOD21C0G4-T11,Short,"23.5 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8",
1810,sporty,Tommy Hilfiger,SLIM DRESS , Day dress,summer-dresses,76.49,pastel blue,,,PiquÃ©,,"96% cotton, 4% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Polo shirt,,,,,Plain,,TO121C0AY-K11,Short,Short,"36.0 "" (Size S)",Fitted waist,"Our model is 5' 10""  tall and is wearing size S",
1811,casual chic,Seidensticker,MIDI , Day dress,summer-dresses,109.99,navy,,,,,100% viscose,,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Standing collar,,,Button,Low-cut v-neck,Polka dot,"Belt included, inseam pockets",3SE21C04M-K11,Calf-length,"19.5 "" (Size 10)","43.0 "" (Size 10)",Regular Fit,,"18.5 "" (Size 10)"
1812,unknown,Vila,VIRILLA , Occasion wear,Occasion dresses,54.99,navy,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",Volant collar,,,Zip,,Plain,"Bust darts, slip",V1021C2W5-K11,Long,Extra short,"55.0 "" (Size 8)",Regular Fit,,"13.5 "" (Size 8)"
1813,alternative,See by ChloÃ©,Day dress,,summer-dresses,240.0,black,,,Jersey,,"97% cotton, 3% elastane",,"Do not tumble dry, machine wash at 30°C, Machine wash on gentle cycle",,,,,Crew neck,Plain,,SE321C069-Q11,Knee-length,Short,"34.5 "" (Size S)",Loose Fit,"Our model is 5' 9""  tall and is wearing size S",
1814,edgy,By Malene Birger,ILANAH , Day dress,summer-dresses,239.99,black,,,Rib,,"82% viscose, 18% polyamide",,Hand wash only,,,,,Low-cut v-neck,Plain,,BY121C09J-Q11,Knee-length,"25.5 "" (Size S)","39.5 "" (Size S)",Bodycon,"Our model is 5' 9""  tall and is wearing size S",
1815,classic,TOM TAILOR DENIM,MIDI DRESS , Day dress,summer-dresses,59.99,black,,,Mesh,Semi-sheer,"95% polyester, 5% elastane","95% polyester, 5% elastane","Do not tumble dry, machine wash at 30°C",Standing collar,,,,,Print,Slip,TO721C0EK-K11,Calf-length,"23.0 "" (Size S)","48.5 "" (Size S)",Slim Fit,,
1816,alternative,Esprit,Day dress,,summer-dresses,34.0,blue,,,,,100% viscose,,"Machine wash at 40°C, do not tumble dry",,,,,Off-the-shoulder,,,ES121C1ZO-K11,,,"39.5 "" (Size M)",,,
1817,edgy,Mango,Cocktail dress / Party dress,,Cocktail Dresses,49.99,black,,,,,100% polyester,,"Hand wash only, dry cleaning, Dry cleanable",,,,Zip,Low-cut v-neck,Plain,,M9121C5FJ-Q11,Thigh-length,Long,,Regular Fit,,
1818,edgy,ONLY,ONLMARYLEE , Day dress,summer-dresses,34.99,black,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,,Square neck,Plain,Bust darts,ON321C2P2-Q11,Short,"20.0 "" (Size S)","29.0 "" (Size S)",Regular Fit,,"15.5 "" (Size S)"
1819,edgy,ONLY Carmakoma,CARMILLY LIFE O NECK DRESS , Day dress,summer-dresses,29.74,black,,,Sweat,,100% cotton,,"Machine wash at 40°C, do not tumble dry, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",,,,,Crew neck,Print,Elasticated waist,ONA21C0G9-Q11,Short,"23.5 "" (Size S-14/16)","36.5 "" (Size S-14/16)",Slim Fit,,
1820,unknown,Liu Jo Jeans,ABITO  , Day dress,summer-dresses,164.99,white multi-coloured,,,,,100% cotton,,"Do not tumble dry, machine wash at 30°C",,,,Zip,Square neck,Floral,,L2521C07N-J11,Short,Short,"33.0 "" (Size 10)",Slim Fit,"Our model is 5' 10""  tall and is wearing size 10","13.0 "" (Size 10)"
1821,edgy,DAY Birger et Mikkelsen,Day dress,,summer-dresses,229.99,black,,,,,"95% polyester, 5% elastane",,"Do not tumble dry, Hand wash only",,,,,V-neck,Plain,,DA321C078-Q11,Calf-length,Elbow length,"45.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8",
1822,unknown,Mango,Cocktail dress / Party dress,,Cocktail Dresses,69.99,dark green,,,,,"98% viscose, 2% elastane",100% polyester,"Do not tumble dry, machine wash at 30°C, Dry cleanable",,,,Zip,Backless,Plain,,M9121C5KG-M11,7/8 length,"Sleeveless, spaghetti straps",,Slim Fit,,
1823,alternative,ICHI,IHBRUCE DR5 20114638 , Day dress,summer-dresses,29.99,brown,,,,,100% polyester,,"Machine wash at 40°C, do not tumble dry",,,,,V-neck,Polka dot,Elasticated waist,IC221C0H1-G11,Short,Extra short,"38.5 "" (Size S)",Regular Fit,,"15.5 "" (Size S)"
1824,trendy,YAS,YASBASTI DRESS , Day dress,summer-dresses,62.99,bright multi-coloured,,,Chiffon,,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30°C",Mandarin collar,,,Button,,,Slip,Y0121C1SU-M11,Short,"25.0 "" (Size S)","37.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)"
