"Out of the following color options, which would you be least likely to wear? Limit your choices to max. 10 options.","Out of the following prints, which would you be least likely to wear? There is no choice limitation.","Out of the following necklines, which would you be least likely to wear? There is no choice limitation.","Out of the following collars, which would you be least likely to wear? There is no choice limitation.","Out of the following materials, which would you be least likely to wear? There is no choice limitation.","Out of the following dress types, which would you be least likely to wear? There is no choice limitation.","Out of the following skirt lengths, which would you be most likely to wear? There is no choice limitation.","Out of the following color options, which would you be most likely to wear? Limit your choices to max. 10 options.",What type of fit(s) do you prefer?,"Out of the following sleeve lengths types, which would you be most likely to wear? There is no choice limitation.","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Selected Choice","What Zalando brands do you typically buy? If you have other favorite brands, you can indicate them in the last text box. - Other options: - Text",What is your opinion on sequins/rhinestones?,What is your opinion on shoulder pads?,Are pockets in a dress important to you?,Do you like backless dresses?,Do you like sheer dresses?,What budget do you typically spend on dresses?,What is your height (+-)?,What is your age? You can leave this blank if you would rather not say.,Dress 1/20 How likely is it that you would wear this dress?,Dress 2/20 How likely is it that you would wear this dress?,Dress 3/20. How likely is it that you would wear this dress?,Dress 4/20. How likely is it that you would wear this dress?,Dress 5/20. How likely is it that you would wear this dress?,Dress 6/20. How likely is it that you would wear this dress?,Dress 7/20. How likely is it that you would wear this dress?,Dress 8/20 How likely is it that you would wear this dress?,Dress 9/20. How likely is it that you would wear this dress?,Dress 10/20. How likely is it that you would wear this dress?,Dress 11/20. How likely is it that you would wear this dress?,Dress 12/20. How likely is it that you would wear this dress?,Dress 13/20. How likely is it that you would wear this dress?,Dress 14/20. How likely is it that you would wear this dress?,Dress 15/20. How likely is it that you would wear this dress?,Dress 16/20. How likely is it that you would wear this dress?,Dress 17/20. How likely is it that you would wear this dress?,Dress 18/20. How likely is it that you would wear this dress?,Dress 19/20. How likely is it that you would wear this dress?,Dress 20/20. How likely is it that you would wear this dress?,"What styles do you identify most with? Limit yourself to picking three looks"
"Army green,Brown,Gold,Pastel pink,Pastel purple,Purple","Animal print,Large floral,Paisley","Henley neckline,Cowl neckline","Zip neck collar,Volant/frill collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Polo dresses","Thigh length,Knee length,Maxi/long","Black,Burgundy,Electric blue,Off-white,Pink",Regular fit,"Short,Elbow length,Long","Other options:",,Neutral,Negative,Neutral,No,Neutral,â‚¬80-120,174,24,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,5- Very likely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Dusty pink,Gold,Pastel pink,Pastel yellow,Sand,Silver","Small floral,Paisley,Polka dot","Henley neckline,Square neckline","Mandarin collar,Peter pan collar,Volant/frill collar","I don't have a preference on materials","Wrap dresses,Bodycon dresses,Hooded dresses,Polo dresses","Calf length,Maxi/long","Army green,Black,Blue,Dark green,Grey,Navy,Off-white,Pastel blue,Pastel green",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Other options:",,Negative,Negative,Neutral,No,No,"â‚¬80-120,â‚¬120 - 200",165,48,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Burnt orange,Dusty pink,Pink,Purple,Red,Silver","Animal print,Checked,Polka dot","Low round neckline,Boat neckline (wide),Square neckline","I like every collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Polo dresses","Short,Thigh length,Knee length,Maxi/long","Black,Blue,Brown,Gold,Navy,Off-white,Pastel blue,Pastel yellow,Sand,Stone,White",Loose fit,"Sleeveless,Elbow length,Long","Mango,NA-KD,Other options:","Monki",Negative,Neutral,No,Neutral,Yes,â‚¬40-80,167,23,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,3- Neutral,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"I like all these colors","Large floral,Striped,Polka dot","I like every neckline","Peter pan collar,Volant/frill collar,Standing collar","Leather","Bodycon dresses,Hooded dresses,Polo dresses,Button down dresses","I like all lengths","Black,Blue,Burgundy,Grey,Navy,Off-white,Pastel pink,Pastel purple",Slim fit,"I like all sleeve lengths","NA-KD,Tommy Hilfiger,Other options:","Nike",Positive,Negative,Neutral,No,No,"â‚¬40-80,â‚¬80-120",179,22,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,5- Very likely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Sporty - Adaptation of activewear, comfort focused"
"Army green,Dark green,Dusty pink,Electric blue,Purple","Checked,Small floral,Polka dot,I don't like any of these prints (you prefer plain clothing)","Henley neckline,Cowl neckline,Low round neckline,V-neck,Square neckline","Lapel collar,Volant/frill collar","Leather,Lace","Wrap dresses,Bodycon dresses,Hooded dresses,Pleated dresses","Calf length,Maxi/long","Black,Brown,Dusty pink,Grey,Navy,Off-white,Pastel blue,Pastel green,Pastel orange,Pastel pink,Pastel yellow,Sand,Silver,Stone","Slim fit,Regular fit","Sleeveless,Short,Elbow length,Long","Mango,Vila,Esprit,Marc'o polo,Tommy Hilfiger",,Neutral,Neutral,Neutral,No,No,"< â‚¬40,â‚¬40-80,â‚¬80-120",166 cm,55,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Brown,Gold,Silver","Animal print,Large floral,Paisley,Polka dot,Prints in general","I like every neckline","Peter pan collar,Bow/shawl collar,Volant/frill collar,Standing collar","Leather","Bodycon dresses,Hooded dresses","Short,Thigh length,Calf length,Maxi/long","Black,Grey,Navy,Off-white,Red,White",Regular fit,"Sleeveless,Short,Elbow length,Long","Mango,Pieces,NA-KD",,Neutral,Negative,Neutral,Yes,Neutral,â‚¬40-80,173,22,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦"
"Army green,Burnt orange,Dark green,Gold,Purple,Silver","Animal print,Checked","I like every neckline","Peter pan collar,Bow/shawl collar,Zip neck collar","Jersey,Sweat,Lace","Wrap dresses,Bodycon dresses,Hooded dresses","Knee length,Calf length,Maxi/long","Black,Blue,Electric blue,Navy,Pastel blue,Pastel green,Pastel pink",I don't have a preference,"Sleeveless,Short,Elbow length,Long","Other options:","CKS -Nathalie Vleeschouwer",Negative,Neutral,No,No,No,â‚¬120 - 200,170,48,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Army green,Burgundy,Brown,Dark green,Purple","Animal print,Checked,Small floral,Paisley,Striped,Polka dot,Prints in general","Henley neckline,Square neckline","Volant/frill collar","Leather","Button down dresses","Short,Thigh length","Blue,Off-white,Pastel blue,Pastel green,Pastel orange,Pastel yellow,Pink,Red",Slim fit,"Sleeveless,Short","Only,Mango,Vila,River Island,Esprit,Pieces",,Negative,Negative,Neutral,No,Neutral,â‚¬40-80,167,37,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Sporty - Adaptation of activewear, comfort focused"
"Gold,Pastel pink,Silver","Small floral,Large floral,Striped","Spaghetti straps","Peter pan collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Hooded dresses","Short,Thigh length,Calf length,Maxi/long","Army green,Black,Burgundy,Brown,Burnt orange,Dark green,Dusty pink,Electric blue,Navy,Pastel green,Pastel orange,Pastel purple,Pastel yellow,Red,Sand,Stone",I don't have a preference,"Short,One shoulder,Elbow length,Long","Mango,River Island,NA-KD,Tommy Hilfiger",,Negative,Neutral,Yes,No,Neutral,"â‚¬40-80,â‚¬80-120",175,24,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,4- Likely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,5- Very likely to wear,3- Neutral,2- Unlikely to wear,3- Neutral,3- Neutral,4- Likely to wear,"Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Army green,Brown,Dark green,Electric blue,Green,Orange,Pastel green,Pastel orange,Silver,Yellow","Checked,Large floral,Paisley,Polka dot","V-neck,Boat neckline (wide),Square neckline","Mandarin collar,Peter pan collar,Bow/shawl collar,Zip neck collar,Volant/frill collar,Standing collar","Leather,Jersey,Chiffon,Sweat","Bodycon dresses,Hooded dresses,Polo dresses,Button down dresses,Pleated dresses","Short,Thigh length,Calf length,Maxi/long","Dusty pink,Gold,Navy,Off-white,Pastel blue,Pastel pink,Pastel purple,Sand,Stone,White","Regular fit,Loose fit","Sleeveless,Short,Elbow length,Long","Mango,Vila,NA-KD",,Neutral,Negative,No,Yes,No,"< â‚¬40,â‚¬40-80",174 cm,22,1- Very unlikely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,3- Neutral,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Burgundy,Burnt orange,Gold,Pastel purple,Pastel yellow,Yellow","Small floral,Large floral","Cowl neckline,Low round neckline,Square neckline","Mandarin collar,Peter pan collar,Zip neck collar,Standing collar","Jersey","Hooded dresses,Polo dresses","Calf length,Maxi/long","Black,Dusty pink,Electric blue,Green,Off-white,Sand,Stone",Regular fit,"Sleeveless,Short,One shoulder,Elbow length,Long","Mango,NA-KD",,Negative,Neutral,No,Yes,Neutral,â‚¬40-80,154,23,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,1- Very unlikely to wear,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"I like all these colors","Striped,Polka dot","V-neck,Square neckline","Mandarin collar,Peter pan collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Polo dresses,Button down dresses","Short,Maxi/long","Black,Blue,Dark green,Electric blue,Gold,Off-white,Pastel blue,Pastel purple,Pink,Red,Sand,Stone",Regular fit,"Short,One shoulder,Long","Mango,Lacoste,Pieces,NA-KD",,Neutral,Neutral,No,Yes,Neutral,â‚¬80-120,169,21,1- Very unlikely to wear,2- Unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,3- Neutral,"Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Burnt orange,Orange,Pastel orange","Checked,Small floral,Striped,Polka dot","I like every neckline","Volant/frill collar,Standing collar","I don't have a preference on materials","Polo dresses,Button down dresses","Short,Thigh length,Maxi/long","Black,Off-white,Pastel blue,Pastel green,White,Yellow","Slim fit,Regular fit","Short,Elbow length","Vila,River Island,JDY",,Neutral,Neutral,Neutral,Neutral,No,â‚¬80-120,168 cm,21,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Green,Off-white,Orange,Pink","I don't like any of these prints (you prefer plain clothing)","V-neck,Square neckline","Lapel collar","Satin,Linnen,Wool","Accentuating the waist,Pleated dresses","Knee length,Calf length","Army green,Black,Gold,Off-white,Orange,Pink,Silver",Loose fit,"Short","Only,Mango,Esprit",,Positive,Negative,Yes,No,Neutral,â‚¬40-80,163,44,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
"Black","Paisley","Henley neckline,Cowl neckline,Boat neckline (wide),Square neckline","Mandarin collar,Zip neck collar","Sweat","Bodycon dresses,Hooded dresses","Short,Maxi/long","Blue,Dusty pink,Electric blue,Green,Pastel blue,Pastel pink,Pastel purple,Pink",Regular fit,"I like all sleeve lengths","Hugo Boss,Ralph Lauren,Other options:","Maje",Neutral,Neutral,No,Neutral,No,"â‚¬120 - 200,> â‚¬200",167,20,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,4- Likely to wear,2- Unlikely to wear,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,4- Likely to wear,4- Likely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Alternative - Closely related to casual chic, though more deviating from widely popular trends, with a neutral and bohemian touch"
"Burgundy,Red","Animal print,Small floral,Large floral,Striped,Polka dot","Cowl neckline,Low round neckline,Square neckline,Spaghetti straps","Mandarin collar,Peter pan collar","I don't have a preference on materials","Bodycon dresses,Pleated dresses","Extra short","Black,Grey,Navy,Off-white,Pastel pink,Sand,Stone",Regular fit,"Strapless,Sleeveless,One shoulder","Only,Desigual,Vila,Superdry,Lacoste,Diane von Furstenberg",,Neutral,Negative,Yes,Yes,No,> â‚¬200,1m64,44,4- Likely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,3- Neutral,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,"Classic - Timeless in nature, being a more formal and conservative style"
"Burgundy,Burnt orange,Dark green,Purple,Red","Animal print,Small floral,Large floral,Paisley,Striped,Polka dot","I like every neckline","Mandarin collar,Peter pan collar,Volant/frill collar,Standing collar","I don't have a preference on materials","Bodycon dresses,Hooded dresses,Polo dresses","I like all lengths","Electric blue,Gold,Green,Off-white,Orange,Pastel blue,Pastel green,Pastel pink,Pink,Yellow",I don't have a preference,"I like all sleeve lengths","Mango,NA-KD,Pinko",,Neutral,Neutral,Neutral,Neutral,No,> â‚¬200,1m64,20,3- Neutral,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,5- Very likely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,3- Neutral,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern"
"Brown,Burnt orange,Electric blue,Orange,Pastel orange,Pastel yellow,Sand,Stone","Animal print,Paisley,Prints in general","I like every neckline","Peter pan collar,Zip neck collar,Volant/frill collar,Standing collar","Jersey,Linnen","Bodycon dresses,Hooded dresses,Polo dresses","Short,Thigh length,Knee length,Maxi/long","Black,Grey,Off-white,Pastel blue,Pastel pink,Pink,Red,White",I don't have a preference,"Sleeveless,Short,Elbow length","Only,Tommy Hilfiger",,Negative,Negative,Neutral,Neutral,No,â‚¬40-80,164cm,22,2- Unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,2- Unlikely to wear,3- Neutral,4- Likely to wear,3- Neutral,2- Unlikely to wear,4- Likely to wear,2- Unlikely to wear,2- Unlikely to wear,"Girly - Emphasis on femininity, romantism and sweetness, characterized by delicate prints, light colors, rufflesâ€¦"
"Burgundy,Burnt orange,Electric blue,Orange,Pastel blue,Pastel orange,Pastel purple,Purple,Red,Silver,Yellow","Animal print,Small floral,Paisley,Polka dot,Prints in general","V-neck,Boat neckline (wide),Square neckline,Spaghetti straps","Mandarin collar,Zip neck collar","I don't have a preference on materials","Hooded dresses,Polo dresses,Button down dresses","Short","Black,Dusty pink,Off-white,Pastel yellow,Sand,Stone,White",Slim fit,"Strapless,Sleeveless,Short,One shoulder,Elbow length,Long,I like all sleeve lengths","Other options:","Ganni sea me happy the kooples iro ",Neutral,Positive,No,Yes,Neutral,> â‚¬200,1.68,24,1- Very unlikely to wear,2- Unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,3- Neutral,4- Likely to wear,4- Likely to wear,1- Very unlikely to wear,4- Likely to wear,3- Neutral,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,1- Very unlikely to wear,1- Very unlikely to wear,4- Likely to wear,"Classic - Timeless in nature, being a more formal and conservative style,Trendy - What is â€˜coolâ€™ at a current time, fashionable, modern,Casual chic - Relaxed, suited for everyday use, spontaneous, versatile, and bare"
