Style options,Styles,Random order,Original order,,link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
,,0.113026056,7384,https://www.zalando.co.uk/alice-olivia-issa-puff-dress-cocktail-dress-party-dress-wild-pink-metallic-a2n21c00p-q11.html,https://www.zalando.co.uk/alice-olivia-issa-puff-dress-cocktail-dress-party-dress-wild-pink-metallic-a2n21c00p-q11.html,Alice + Olivia,ISSA PUFF DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£400.00,pink,--,--,--,--,"57% wool, 37% polyester, 6% elastane",--,--,Standing collar,--,--,Zip,--,Marl,Shoulder pads,A2N21C00P-Q11,Extra short,"27.5 "" (Size S)","36.0 "" (Size S)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.811783006,2062,https://www.zalando.co.uk/kaffe-eloise-dress-day-dress-sandchalkdark-blue-ka321c0sd-t11.html,https://www.zalando.co.uk/kaffe-eloise-dress-day-dress-sandchalkdark-blue-ka321c0sd-t11.html,Kaffe,ELOISE DRESS , Day dress,summer-dresses,Â£79.99,brown,--,--,Chiffon,--,"95% polyester, 5% metal",100% polyester,--,Standing collar,--,--,--,Low-cut v-neck,Print,"Inseam pockets, bust darts, slip",KA321C0SD-T11,Knee-length,"26.5 "" (Size 10)","39.5 "" (Size 10)",Loose Fit,--,"15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.616701712,2109,https://www.zalando.co.uk/naf-naf-palerma-day-dress-palerma-noir-na521c19f-t11.html,https://www.zalando.co.uk/naf-naf-palerma-day-dress-palerma-noir-na521c19f-t11.html,NAF NAF,PALERMA  , Day dress,summer-dresses,Â£89.99,black multi-coloured,--,--,--,Semi-sheer,"98% polyester, 2% metal",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Floral,Slip,NA521C19F-T11,Short,"23.0 "" (Size 8)","38.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.617079865,6717,https://www.zalando.co.uk/day-birger-et-mikkelsen-cocktail-dress-party-dress-orange-pepper-da321c06z-t11.html,https://www.zalando.co.uk/day-birger-et-mikkelsen-cocktail-dress-party-dress-orange-pepper-da321c06z-t11.html,DAY Birger et Mikkelsen,Cocktail dress / Party dress,,Cocktail Dresses,Â£329.99,white multi-coloured,--,--,Chiffon,--,"95% polyester, 5% elastane",--,"Do not tumble dry, Hand wash only",--,--,--,Laces,V-neck,Print,Rhinestones,DA321C06Z-T11,Calf-length,"25.5 "" (Size 8)","45.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","17.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.193263282,7372,https://www.zalando.co.uk/missguided-corset-dress-cocktail-dress-party-dress-black-m0q21c239-q11.html,https://www.zalando.co.uk/missguided-corset-dress-cocktail-dress-party-dress-black-m0q21c239-q11.html,Missguided,CARLI BYBEL CORSET DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£37.99,black,--,--,"Mesh, Jersey",--,100% polyester,100% polyester,Hand wash only,--,--,--,Zip,--,Plain,"Adjustable straps, sequins",M0Q21C239-Q11,Short,Spaghetti straps,"27.0 "" (Size 8)",Bodycon,"Our model is 5' 10""  tall and is wearing size 8",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.593685332,3836,https://www.zalando.co.uk/cmeo-collective-new-direction-dress-day-dress-ecru-botanic-cq421c03j-a11.html,https://www.zalando.co.uk/cmeo-collective-new-direction-dress-day-dress-ecru-botanic-cq421c03j-a11.html,CMEO COLLECTIVE,NEW DIRECTION DRESS , Day dress,summer-dresses,Â£319.99,white multi-coloured,--,--,--,--,"55% linen, 45% viscose",100% cotton,--,--,--,--,Zip,Low-cut v-neck,Floral,"Inseam pockets, slip",CQ421C03J-A11,Calf-length,Sleeveless,"39.5 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.50791265,6434,https://www.zalando.co.uk/gina-tricot-meridiandress-cocktail-dress-party-dress-spring-garden-gid21c05o-j11.html,https://www.zalando.co.uk/gina-tricot-meridiandress-cocktail-dress-party-dress-spring-garden-gid21c05o-j11.html,Gina Tricot,EXCLUSIVE MERIDIANDRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£34.99,pink,--,--,Chiffon,--,100% polyester,100% polyester,--,--,Asymmetrical,--,Zip,--,Floral,"Elasticated waist, slip",GID21C05O-J11,Short,"27.0 "" (Size 8)","34.0 "" (Size 8)",Regular Fit,--,"14.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.605173011,3406,https://www.zalando.co.uk/rhythm-classic-mini-dress-day-dress-black-2rh81h00c-q11.html,https://www.zalando.co.uk/rhythm-classic-mini-dress-day-dress-black-2rh81h00c-q11.html,Rhythm,CLASSIC MINI DRESS , Day dress,summer-dresses,Â£44.99,black,--,--,--,--,"55% linen, 45% cotton",--,"Do not tumble dry, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Plain,"Bust darts, adjustable straps",2RH81H00C-Q11,Extra short,Spaghetti straps,"32.5 "" (Size S)",Slim Fit,--,"14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.976805562,3784,https://www.zalando.co.uk/mads-noergaard-day-dress-black-m1421c03b-q11.html,https://www.zalando.co.uk/mads-noergaard-day-dress-black-m1421c03b-q11.html,Mads NÃ¸rgaard,GAZE BELLINI DRESS , Day dress,summer-dresses,Â£194.99,black,--,--,--,--,"99% cotton, 1% elastane",--,--,--,--,--,--,Low-cut v-neck,Plain,--,M1421C03B-Q11,Calf-length,"30.5 "" (Size S)","50.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S","17.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.503297249,3770,https://www.zalando.co.uk/custommade-lyn-day-dress-stormy-weather-cu721c033-c11.html,https://www.zalando.co.uk/custommade-lyn-day-dress-stormy-weather-cu721c033-c11.html,Custommade,LYN , Day dress,summer-dresses,Â£224.99,blue,--,--,--,--,100% viscose,--,--,Turn-down collar,--,--,Button,--,Plain,Bust darts,CU721C033-C11,Short,"26.0 "" (Size S)","35.0 "" (Size S)",Regular Fit,"Our model is 5' 9""  tall and is wearing size S","15.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.488929374,5550,https://www.zalando.co.uk/yas-yasholi-dress-noos-day-dress-aster-purple-y0121c1sb-i11.html,https://www.zalando.co.uk/yas-yasholi-dress-noos-day-dress-aster-purple-y0121c1sb-i11.html,YAS,YASHOLI DRESS  , Day dress,summer-dresses,Â£59.99,purple,--,--,--,--,100% cotton,100% cotton,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,Low-cut v-neck,Plain,Slip,Y0121C1SB-I11,Short,"27.0 "" (Size S)","37.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.122453386,367,https://www.zalando.co.uk/esprit-collection-new-print-day-dress-black-es421c1ip-q11.html,https://www.zalando.co.uk/esprit-collection-new-print-day-dress-black-es421c1ip-q11.html,Esprit Collection,Day dress,,summer-dresses,Â£69.99,black,--,--,--,--,"95% polyamide, 5% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Animal print,Slip,ES421C1IP-Q11,Calf-length,"24.0 "" (Size 10)","43.5 "" (Size 10)",Regular Fit,"Our model is 5' 9""  tall and is wearing size 10",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.442216955,4705,https://www.zalando.co.uk/mango-day-dress-groen-m9121c5ky-m11.html,https://www.zalando.co.uk/mango-day-dress-groen-m9121c5ky-m11.html,Mango,ACAMAR , Day dress,summer-dresses,Â£35.99,green,--,--,--,--,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,--,Backless,Plain,--,M9121C5KY-M11,Calf-length,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.547170424,3299,https://www.zalando.co.uk/marc-cain-day-dress-multi-m4r21c06q-t11.html,https://www.zalando.co.uk/marc-cain-day-dress-multi-m4r21c06q-t11.html,Marc Cain,Day dress,,summer-dresses,Â£369.99,black/white,--,--,Chiffon,--,"66% viscose, 34% silk",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,Slip,M4R21C06Q-T11,Calf-length,"24.0 "" (Size 10)","50.5 "" (Size 10)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.568538504,2211,https://www.zalando.co.uk/vila-vilana-ballon-sleeve-dress-day-dress-black-v1021c2su-q11.html,https://www.zalando.co.uk/vila-vilana-ballon-sleeve-dress-day-dress-black-v1021c2su-q11.html,Vila,VILANA BALLON SLEEVE DRESS , Day dress,summer-dresses,Â£29.74,black multi-coloured,--,--,--,--,100% viscose,--,"Machine wash at 30Â°C, A shrinkage of up to 5% may occur, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Floral,--,V1021C2SU-Q11,Short,"27.5 "" (Size 8)","37.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","17.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.348346989,3689,https://www.zalando.co.uk/only-petite-onldream-highneck-dress-day-dress-cobblestone-melange-op421c0bv-o11.html,https://www.zalando.co.uk/only-petite-onldream-highneck-dress-day-dress-cobblestone-melange-op421c0bv-o11.html,ONLY Petite,ONLDREAM HIGHNECK DRESS , Day dress,summer-dresses,Â£29.74,grey,--,--,Sweat,--,"48% polyester, 48% viscose, 4% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,--,--,Marl,--,OP421C0BV-O11,Knee-length,"22.5 "" (Size S)","38.0 "" (Size S)",Loose Fit,"Our model is 5' 5""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.605430005,2343,https://www.zalando.co.uk/jdy-jdybasil-dress-day-dress-palace-blue-jy121c0qg-k11.html,https://www.zalando.co.uk/jdy-jdybasil-dress-day-dress-palace-blue-jy121c0qg-k11.html,JDY,JDYBASIL DRESS  , Day dress,summer-dresses,Â£25.99,blue,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Checked,--,JY121C0QG-K11,Short,Elbow length,"35.5 "" (Size 8)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.24731231,5336,https://www.zalando.co.uk/abercrombie-and-fitch-shift-dress-white-solid-a0f21c09k-a11.html,https://www.zalando.co.uk/abercrombie-and-fitch-shift-dress-white-solid-a0f21c09k-a11.html,Abercrombie & Fitch,Day dress,,summer-dresses,Â£50.99,white,--,--,--,--,"79% cotton, 21% polyester","98% polyester, 2% elastane",Machine wash at 30Â°C,--,--,--,Zip,Square neck,Plain,"Bust darts, slip",A0F21C09K-A11,Short,Sleeveless,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.085410593,2250,https://www.zalando.co.uk/only-onlsoft-long-slit-dress-day-dress-black-on321c2sl-q11.html,https://www.zalando.co.uk/only-onlsoft-long-slit-dress-day-dress-black-on321c2sl-q11.html,ONLY,ONLSOFT LONG SLIT DRESS , Day dress,summer-dresses,Â£23.99,black,--,--,Sweat,--,"62% cotton, 38% polyester",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Plain,--,ON321C2SL-Q11,Knee-length,Short,"44.0 "" (Size S)",Loose Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.990504921,5683,https://www.zalando.co.uk/only-carmakoma-carluxmila-dress-day-dress-black-ona21c0bj-q11.html,https://www.zalando.co.uk/only-carmakoma-carluxmila-dress-day-dress-black-ona21c0bj-q11.html,ONLY Carmakoma,CARLUXMILA DRESS SOLID , Day dress,summer-dresses,Â£21.99,black,--,--,--,--,"97% polyester, 3% elastane",--,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,Zip,Crew neck,Plain,Bust darts,ONA21C0BJ-Q11,Knee-length,Short,"35.0 "" (Size 16)",Regular Fit,--,"17.0 "" (Size 16)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.81676875,4069,https://www.zalando.co.uk/nikkie-raddix-dress-day-dress-blackmidnight-bluestar-white-nio21c020-q11.html,https://www.zalando.co.uk/nikkie-raddix-dress-day-dress-blackmidnight-bluestar-white-nio21c020-q11.html,NIKKIE,RADDIX DRESS , Day dress,summer-dresses,Â£109.99,white,--,--,--,--,"92% polyester, 8% elastane","94% polyester, 6% elastane","Hand wash only, do not tumble dry",--,--,--,Zip,Cache-coeur,Print,Slip,NIO21C020-Q11,Short,"24.5 "" (Size 8)","31.5 "" (Size 8)",Bodycon,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.325823793,7155,https://www.zalando.co.uk/birgitte-herskind-ryan-dress-cocktail-dress-party-dress-black-bio21c02b-q11.html,https://www.zalando.co.uk/birgitte-herskind-ryan-dress-cocktail-dress-party-dress-black-bio21c02b-q11.html,Birgitte Herskind,RYAN DRESS , Cocktail dress / Party dress,Cocktail Dresses,Â£209.99,black,--,--,--,--,100% viscose,100% polyester,--,--,--,--,Laces,Backless,Plain,Slip,BIO21C02B-Q11,Calf-length,"25.0 "" (Size 8)","49.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","18.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.475846553,890,https://www.zalando.co.uk/vero-moda-vmsunilla-nora-tie-shirt-dress-shirt-dress-blackblueyellow-ve121c365-q11.html,https://www.zalando.co.uk/vero-moda-vmsunilla-nora-tie-shirt-dress-shirt-dress-blackblueyellow-ve121c365-q11.html,Vero Moda,VMSUNILLA NORA TIE SHIRT DRESS , Day dress,summer-dresses,Â£34.99,black multi-coloured,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Low-cut v-neck,Floral,"Bust darts, bow",VE121C365-Q11,Short,"25.5 "" (Size S)","34.0 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.063635232,4681,https://www.zalando.co.uk/mango-day-dress-pinkblack-m9121c5gq-j11.html,https://www.zalando.co.uk/mango-day-dress-pinkblack-m9121c5gq-j11.html,Mango,PISCO , Day dress,summer-dresses,Â£49.99,black multi-coloured,--,--,--,--,"90% polyester, 10% elastane",--,"Machine wash at 40Â°C, do not tumble dry, Dry cleanable",--,--,--,Button,Backless,Print,--,M9121C5GQ-J11,Short,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.104866905,1325,https://www.zalando.co.uk/vila-vihaffa-short-dress-day-dress-black-v1021c2sv-q11.html,https://www.zalando.co.uk/vila-vihaffa-short-dress-day-dress-black-v1021c2sv-q11.html,Vila,VIHAFFA SHORT DRESS , Day dress,summer-dresses,Â£29.99,black multi-coloured,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Laces,--,Floral,Slip,V1021C2SV-Q11,Short,"24.5 "" (Size 8)","35.0 "" (Size 8)",Loose Fit,"Our model is 5' 9""  tall and is wearing size 8","15.0 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.312389481,6117,https://www.zalando.co.uk/yas-yasroberta-train-dress-celeb-occasion-wear-star-white-y0121c1sx-a11.html,https://www.zalando.co.uk/yas-yasroberta-train-dress-celeb-occasion-wear-star-white-y0121c1sx-a11.html,YAS,YASROBERTA TRAIN DRESS CELEB , Occasion wear,Occasion dresses,Â£219.99,white,--,--,Lace,--,100% polyester,100% polyester,"Do not wash, Do not iron",--,--,--,Zip,Backless,Plain,--,Y0121C1SX-A11,Long,Extra short,"77.0 "" (Size S)",Slim Fit,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,trendy,0.242107083,5395,https://www.zalando.co.uk/yas-yasliana-day-dress-cloud-dancer-liana-print-y0121c1s2-t11.html,https://www.zalando.co.uk/yas-yasliana-day-dress-cloud-dancer-liana-print-y0121c1s2-t11.html,YAS,YASLIANA  , Day dress,summer-dresses,Â£69.99,bright multi-coloured,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C",--,--,--,Button,Crew neck,--,--,Y0121C1S2-T11,Long,"24.5 "" (Size S)","53.0 "" (Size S)",Regular Fit,--,"12.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.643573463,4545,https://www.zalando.co.uk/mango-day-dress-fuchsia-m9121c5k1-j11.html,https://www.zalando.co.uk/mango-day-dress-fuchsia-m9121c5k1-j11.html,Mango,JUNGLA , Day dress,summer-dresses,Â£35.99,pink,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Do not iron",Turn-down collar,--,--,--,--,Plain,Belt included,M9121C5K1-J11,Knee-length,Long,--,Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.953831837,3425,https://www.zalando.co.uk/part-two-nasreen-day-dress-blooming-dahlia-poetic-p2121c0e3-j11.html,https://www.zalando.co.uk/part-two-nasreen-day-dress-blooming-dahlia-poetic-p2121c0e3-j11.html,Part Two,NASREEN , Day dress,summer-dresses,Â£129.99,pastel orange,--,--,Chiffon,--,100% viscose,100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Print,Slip,P2121C0E3-J11,Calf-length,3/4 length,--,Loose Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.816192646,2812,https://www.zalando.co.uk/minimum-felani-day-dress-chambray-blue-mi421c0by-k11.html,https://www.zalando.co.uk/minimum-felani-day-dress-chambray-blue-mi421c0by-k11.html,Minimum,FELANI , Day dress,summer-dresses,Â£94.99,electric blue,--,--,--,--,"74% viscose, 20% nylon, 6% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,Print,Bust darts,MI421C0BY-K11,Calf-length,"18.5 "" (Size 8)","48.0 "" (Size 8)",Regular Fit,--,"13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.921748598,7128,https://www.zalando.co.uk/hofmann-copenhagen-isseline-cocktail-dress-party-dress-creme-0hc21c02r-a11.html,https://www.zalando.co.uk/hofmann-copenhagen-isseline-cocktail-dress-party-dress-creme-0hc21c02r-a11.html,Hofmann Copenhagen,ISSELINE , Day dress,Cocktail Dresses,Â£319.99,off-white,--,--,--,Semi-sheer,"95% polyester, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,Plain,"Border, belt included",0HC21C02R-A11,Short,"25.0 "" (Size 8)","37.0 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","16.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.265042169,3282,https://www.zalando.co.uk/marc-cain-day-dress-granny-smith-m4r21c07a-m11.html,https://www.zalando.co.uk/marc-cain-day-dress-granny-smith-m4r21c07a-m11.html,Marc Cain,Day dress,,summer-dresses,Â£224.99,green,--,--,--,--,100% polyester,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Laces,Low-cut v-neck,Floral,--,M4R21C07A-M11,Knee-length,"23.0 "" (Size 10)","38.0 "" (Size 10)",Loose Fit,"Our model is 5' 10""  tall and is wearing size 10","17.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.76436666,829,https://www.zalando.co.uk/abercrombie-and-fitch-halter-dress-day-dress-blue-a0f21c09g-k11.html,https://www.zalando.co.uk/abercrombie-and-fitch-halter-dress-day-dress-blue-a0f21c09g-k11.html,Abercrombie & Fitch,HALTER DRESS  , Day dress,summer-dresses,Â£93.49,pastel blue,--,--,--,--,100% polyester,"98% polyester, 2% elastane",Machine wash at 30Â°C,--,--,--,Zip,--,Floral,"Bust darts, slip, wired bustier",A0F21C09G-K11,Calf-length,Spaghetti straps,"55.5 "" (Size S)",Regular Fit,"Our model is 5' 10""  tall and is wearing size S","14.0 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.831136092,2652,https://www.zalando.co.uk/gestuz-milia-long-dress-day-dress-moonbeam-softice-ge221c0b1-a11.html,https://www.zalando.co.uk/gestuz-milia-long-dress-day-dress-moonbeam-softice-ge221c0b1-a11.html,Gestuz,MILIA LONG DRESS , Day dress,summer-dresses,Â£149.99,black/white,--,--,Jersey,--,"88% viscose, 12% elastane",--,"Do not tumble dry, machine wash at 30Â°C",Standing collar,--,--,Button,Backless,Print,--,GE221C0B1-A11,Calf-length,"24.5 "" (Size S)","53.0 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.245911324,2235,https://www.zalando.co.uk/jdy-jdydicte-chambray-dress-day-dress-blue-denim-jy121c0ql-k11.html,https://www.zalando.co.uk/jdy-jdydicte-chambray-dress-day-dress-blue-denim-jy121c0ql-k11.html,JDY,JDYDICTE CHAMBRAY DRESS , Day dress,summer-dresses,Â£30.99,blue,--,--,--,--,100% cotton,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Low-cut v-neck,--,--,JY121C0QL-K11,Short,"19.5 "" (Size 8)","34.5 "" (Size 8)",Loose Fit,"Our model is 5' 11""  tall and is wearing size 8","15.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
,,0.060025959,3246,https://www.zalando.co.uk/love-moschino-day-dress-black-lo921c07y-q11.html,https://www.zalando.co.uk/love-moschino-day-dress-black-lo921c07y-q11.html,Love Moschino,Day dress,,summer-dresses,Â£179.99,black,--,--,Sweat,--,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Standing collar,--,--,Button,--,--,--,LO921C07Y-Q11,Short,"25.5 "" (Size 8)","35.0 "" (Size 8)",Slim Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
