"predict","alternative","casual chic","classic","edgy","girly","sporty","trendy","C1","Unnamed: 0","Brand","Dress name ","Price","Price Category","Color","Fabric","Outer fabric material","Lining","Care instructions","Collar","Cut","Fastening","Type of dress","Neckline","Consolidated Prints","Details","Dress length","Sleeve length","Consolidated sleeve length","Total length","Fit","Consolidated fit","Our model's height","Back width","Sheer?","Pockets?","Rhinestones?","Shoulderpads?","Backless?","cv_predicted"
"girly",0.03388791216854386,0.009404979670996627,0.13015917598958546,6.29923213380648E-4,0.8256628128866925,3.332322980013665E-11,2.551960374776857E-4,1461,2326,"Re.draft","VOLANT DRESS ",43.99,2,"dusty pink",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Round neckline","Prints in general","Bust darts","Knee length","Sleeveless","Sleeveless","39.5 "" (Size 8)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 8","13.0 "" (Size 8)","No","No","No","No","No","girly"
"girly",2.6277368543086663E-6,0.0010317073972457224,1.008601340772701E-6,3.455877437191066E-6,0.9038335832314787,2.0099759969703813E-14,0.0951276171556233,1462,2327,"Glamorous","TIE FRONT FITTED MINI DRESS WITH PUFF SLEEVES ",37.99,1,"green",,"70% polyester, 30% linen","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Square neckline","Floral",,"Extra short","Short","Short","33.0 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 9""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","Yes","girly"
"classic",9.507351604098381E-7,1.4303847983241358E-4,0.49328592687744366,0.45592480902391036,0.0025758592826573613,8.444834370395005E-13,0.048069415600151204,1463,2328,"BLANCHE","ANAIS DRESS ",149.99,4,"black","Satin","100% polyester",,"Do not tumble dry, machine wash at 30Â°C",,,"Zip",,"Low v-neck","Plain","Bust darts","Calf length","Sleeveless","Sleeveless","46.0 "" (Size 8)","Slim Fit","Slim fit",,"15.5 "" (Size 8)","No","No","No","No","No","unknown"
"classic",0.33119929119897246,0.01719964378343664,0.5948301226485095,0.0567117878194773,4.173227001013427E-6,4.518063106985261E-5,9.800691533153528E-6,1464,2330,"Moss Copenhagen","FELUCA  DRESS ",74.99,2,"brown","Cord","98% cotton, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Low v-neck","Plain",,"Knee length","Sleeveless","Sleeveless","37.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","alternative"
"sporty",3.768688151311533E-11,4.396155870704749E-14,4.791598673283393E-13,2.2628695444359774E-11,1.2794527455870259E-17,0.9999999999390206,1.4076640383612951E-13,1465,2332,"Esprit","Day dress",54.99,2,"blue","Sweat","70% cotton, 27% polyester, 3% elastane",,"Machine wash at 40Â°C, do not tumble dry","Hood",,,"Hooded dresses",,"Plain",,"Short","25.0 "" (Size S)","Long","36.0 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S",,"No","Yes","No","No","No","sporty"
"casual chic",1.4038043579863232E-4,0.9831371289126598,0.0026234130785465146,0.008618570551494373,6.55670742824699E-5,4.3778209554673405E-5,0.00537116173766323,1466,2333,"EDITED","CAIRO DRESS ",59.99,2,"black/white",,"88% viscose, 12% polyamide",,,"Standing collar",,"Zip",,,"Floral",,"Extra short","25.0 "" (Size 10)","Long","32.5 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 10","11.5 "" (Size 10)","No","No","No","No","No","casual chic"
"girly",9.101266553589325E-6,0.0020887463092798095,6.794485082801516E-5,2.6575294881156496E-5,0.9977972139775148,6.542507292356474E-8,1.0352875869686452E-5,1467,2334,"Hollister Co.","TIERED SHORT DRESS ",26.99,1,"red","Jersey","92% polyester, 8% elastane",,"Machine wash at 30Â°C",,,"Hook fasteningÂ ","Wrap dresses","Low v-neck","Floral","Belt included","Extra short","Short","Short","12.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S",,"No","No","No","No","No","girly"
"trendy",6.566538149042807E-36,1.572124480779585E-31,1.1877122164331885E-12,2.785945685710786E-5,1.0856282313595149E-8,9.207270143490344E-57,0.9999721296856728,1468,2335,"Alice + Olivia","MAYER RUFFLE SLIT MAXI DRESS ",715.0,5,"black","Satin","80% triacetate, 20% polyester","94% polyester, 6% elastane","Dry clean only",,,"Zip","Bodycon dresses","Spaghetti straps","Plain","Bust darts, slip","Maxi/long","Spaghetti straps","Spaghetti straps","47.0 "" (Size 8)","Bodycon","Slim fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","Yes","edgy"
"girly",3.3933951391491997E-23,1.830895078623157E-17,3.8215066345219194E-5,2.283109390979947E-6,0.9290244530176383,8.033680220198712E-39,0.07093504880662546,1469,2336,"Dondup","ABITO ",629.99,5,"white multi-coloured","Chiffon","100% viscose","93% cupro, 7% elastane","Dry clean only, Do not wash",,,"Laces",,"Low v-neck","Prints in general","Bust darts, slip","Maxi/long","Spaghetti straps","Spaghetti straps","58.5 "" (Size 10)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)","No","No","No","No","No","girly"
"trendy",5.202470552368129E-7,4.912679204449929E-5,3.074502994556136E-8,0.025563129846616243,2.1603674919569335E-4,3.339075432947584E-15,0.974171155620055,1470,2337,"Free People","PROBABLY SHOULD BODYCON ",59.99,2,"black","Jersey","88% nylon, 12% elastane",,"Hand wash only",,,,"Bodycon dresses","Spaghetti straps","Plain","Adjustable straps","Short","Spaghetti straps","Spaghetti straps","29.0 "" (Size 8/10)","Bodycon","Slim fit","Our model is 5' 9""  tall and is wearing size 8/10",,"No","No","No","No","Yes","edgy"
"alternative",0.9142018006590011,0.07939844589878807,0.001498484337214485,0.004192432753218905,6.349967245489796E-4,1.0671848488156493E-9,7.383856004346532E-5,1471,2338,"Pepe Jeans","MARINA ",69.99,2,"multi-coloured",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,"Wrap dresses","Low v-neck","Floral","Slip","Short","18.0 "" (Size S)","Elbow length","36.0 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","16.5 "" (Size S)","No","No","No","No","No","edgy"
"trendy",3.401436551724404E-7,2.2404376733031854E-7,6.841255117694639E-4,1.871154101255861E-4,0.11896915776524694,4.107603342089488E-17,0.8801590371254354,1472,2339,"Christopher Kane","PSYCH FLORAL MINI DRESS ",,5,"multi-coloured",,"100% viscose",,"Dry clean only","Standing collar",,"Zip",,,"Floral","Bust darts","Short","Sleeveless","Sleeveless","33.5 "" (Size 10)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 10","10.0 "" (Size 10)","No","No","No","No","No","girly"
"girly",3.942571404160246E-10,3.3993435604066035E-8,5.5039421926097426E-5,7.501609879819141E-6,0.6570848272307999,7.385780597312898E-13,0.342852597348963,1473,2340,"BCBGMAXAZRIA","SHORT EVENING ",194.99,4,"yellow","Chiffon","100% polyester","92% polyester, 8% elastane","Dry clean only",,,"Zip",,"Low v-neck","Plain","Slip","Short","Extra short","Short",,"Slim Fit","Slim fit",,,"No","No","No","No","No","trendy"
"alternative",0.9990921580248172,8.252359714685323E-4,1.4097545901601768E-8,8.258906034694897E-5,3.2422201114145067E-10,1.927403243404403E-9,5.941961211577224E-10,1474,2341,"Superdry","STUDIOS  ",30.0,1,"black multi-coloured",,"100% viscose",,"Do not bleach, do not tumble dry",,,"Zip",,"Round neckline","Prints in general",,"Short","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"trendy",9.851916818804654E-7,4.3470114021861054E-5,2.7018395866934227E-4,6.781278537007023E-6,2.002621728946566E-4,2.458163729104002E-9,0.9994783148260316,1475,2342,"Mango","MACARON A ",29.99,1,"green",,"80% polyester, 16% viscose, 4% elastane","100% polyester","Do not tumble dry, machine wash at 30Â°C, Dry cleanable",,,"Zip",,"Round neckline","Plain","Shoulder pads, slip","Short","Short","Short",,"Slim Fit","Slim fit",,,"No","No","No","yes","No","edgy"
"casual chic",0.18365327782877647,0.8141518175286256,1.8910582168554452E-4,0.0020005535365369928,4.509090043002521E-6,8.057532331423241E-11,7.361137572480643E-7,1476,2343,"Vero Moda","VMMANNA DRESS ",31.49,1,"black",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Mandarin collar",,"Button",,"Round neckline","Prints in general",,"Short","24.0 "" (Size S)","Long","34.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 11""  tall and is wearing size S","15.5 "" (Size S)","No","No","No","No","No","edgy"
"classic",0.03762753365412652,6.49966094945289E-4,0.9609437899308526,2.3018882078188458E-4,9.851150532583764E-7,4.5589004191042477E-7,5.470804941986796E-4,1477,2344,"Esprit","Day dress",36.99,1,"black","Jersey","60% viscose, 40% polyamide",,"Do not bleach, do not tumble dry, machine wash at 30Â°C",,,,,"Low round neckline","Plain","Border","Calf length","Sleeveless","Sleeveless",,"Regular Fit","Regular fit",,,"No","No","No","No","No","unknown"
"trendy",6.917908254486817E-13,4.8691419896550525E-14,0.01661760327399412,0.0023712425114519402,0.09814855111935913,1.4371908333668833E-27,0.8828626030944543,1478,2345,"Notes du Nord","BRIELLE ROBE ",474.99,5,"gold",,"100% polyester","100% polyester","Dry clean only",,,"Button",,"Low v-neck",,"Sequins, slip","Maxi/long","Elbow length","Elbow length","56.5 "" (Size 10)","Regular Fit","Regular fit",,,"No","No","yes","No","No","alternative"
"trendy",2.9111426184207963E-5,6.444402837972541E-6,3.6603940259774455E-7,0.009422790788470291,5.160202476321585E-5,1.4135548979572358E-12,0.9904896853169282,1479,2346,"Nly by Nelly","EVERYDAY DRESS ",27.99,1,"brown","Jersey","95% polyester, 5% elastane",,"Do not tumble dry, machine wash at 30Â°C",,,,"Bodycon dresses","Square neckline","Plain",,"Extra short","Spaghetti straps","Spaghetti straps",,"Bodycon","Slim fit",,,"No","No","No","No","No","alternative"
"alternative",0.9783226532165384,2.2971692022083503E-4,0.020361087431297855,0.0010809156046946683,5.322736650177523E-7,2.8939864661646297E-6,2.2005671171204856E-6,1480,2347,"Esprit","Day dress",36.99,1,"army green",,"79% viscose, 21% polyester",,"Do not bleach, do not tumble dry, machine wash at 30Â°C","Standing collar",,,"Accentuating the waist",,"Plain","Belt included, button row","Thigh length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"sporty",2.7140048240636844E-12,1.1519240658599534E-18,1.0150886167011947E-17,2.0701707435936158E-15,5.2379190317328004E-24,0.999999999997284,4.968935926836982E-18,1481,2348,"Superdry","Day dress",54.99,2,"dark green","Sweat","55% cotton, 45% polyester",,"Do not bleach, do not tumble dry","Hood",,,"Hooded dresses",,"Prints in general",,"Short","Extra long","Long",,"Regular Fit","Regular fit",,,"No","Yes","No","No","No","sporty"
"alternative",0.8653146605160343,0.1331021998319548,6.80309248118315E-5,0.0015141229740130758,1.326522114601924E-7,2.5125374383877678E-11,8.530758490809597E-7,1482,2349,"Only","ONLTAMMI DRESS ",43.99,2,"denim","Denim","90% cotton, 8% polyester, 2% elastane",,"Do not tumble dry, machine wash at 30Â°C","Turn-down collar",,"Button","Button down dresses",,,,"Short","24.5 "" (Size S)","Long","34.5 "" (Size S)","Regular Fit","Regular fit",,"15.5 "" (Size S)","No","No","No","No","No","edgy"
"girly",2.8824552516832647E-26,1.1766191675461051E-23,5.131132478317481E-4,1.16676820243433E-5,0.9964673456839852,1.2689537676506528E-44,0.0030078733861587416,1483,2350,"Temperley London","TWIGGY DRESS ",695.0,5,"pastel blue","Lace","100% nylon","100% viscose","Dry clean only","Standing collar",,"Zip",,,"Plain","Slip, fringing","Short","25.0 "" (Size 8)","Long","36.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8",,"No","No","No","No","No","girly"
"classic",8.32007271493106E-8,1.262335347794663E-7,0.9939111137854303,3.570027098808002E-9,7.24684605651449E-6,1.037561045378951E-9,0.006081425326663258,1484,2351,"Anna Field","Cocktail dress / Party dress",33.99,1,"navy","Lace","56% polyamide, 44% cotton","100% polyester","Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Zip",,"Low round neckline","Plain","Slip","Knee length","Sleeveless","Sleeveless","40.0 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 10""  tall and is wearing size 8","12.5 "" (Size 8)","No","No","No","No","No","classic"
"alternative",0.8477020146027393,0.09654454616346993,0.05533393667659803,3.264741484869258E-4,8.271135311283833E-5,2.4554515419559835E-7,1.0071510438784846E-5,1485,2352,"Esprit","Day dress",29.99,1,"navy",,"100% cotton",,,,,"Button",,"Round neckline","Plain",,"Short","3/4 length, long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"classic",1.594664856481071E-4,3.4399942969084853E-6,0.5334557412388313,0.4086580011905774,6.761017493352047E-5,7.897460016107535E-17,0.05765574091571278,1486,2353,"Hofmann Copenhagen","JENNA ",299.99,5,"multi-coloured",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,,,"Low v-neck",,"Inseam pockets, border","Knee length","24.0 "" (Size 8)","Long","36.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 9""  tall and is wearing size 8","14.5 "" (Size 8)","No","yes","No","No","No","alternative"
"sporty",1.278468725905097E-16,6.581680275887404E-17,2.4857728502732795E-17,5.483874710422383E-16,4.5699147478143864E-23,0.9999999999999989,3.4362844481524523E-16,1487,2354,"Ragwear","MARSELINNA ",59.99,2,"pastel blue","Sweat","100% cotton",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle","Hood",,,"Hooded dresses",,"Plain","Inseam pockets","Short","27.0 "" (Size S)","Long","35.5 "" (Size S)","Loose Fit","Loose fit",,,"No","yes","No","No","No","sporty"
"trendy",0.0022672804615390357,0.0717094481724502,4.846568838063343E-4,3.269880111967344E-6,0.06990688240732472,1.7050752656096612E-9,0.8556284604896924,1488,2355,"Gina Tricot","MOA DRESS ",59.99,2,"pastel green",,"100% polyester","100% polyester","Do not tumble dry, machine wash at 30Â°C",,,,"Wrap dresses","Low v-neck","Plain","Slip","Calf length","Short","Short","43.5 "" (Size 8)","Regular Fit","Regular fit",,"13.0 "" (Size 8)","No","No","No","No","No","trendy"
"trendy",1.2850134826562888E-30,1.078774436372898E-31,6.692937248399631E-6,2.243264334113334E-5,1.728602493622318E-5,2.1383228643954288E-57,0.9999535883944741,1489,2356,"Tory Burch","CRINKLE DRESS ",850.0,5,"silver",,"60% nylon, 40% metal","100% polyester","Dry cleanable",,,,,"Low round neckline",,"Slip","Calf length","25.0 "" (Size 8)","Long","50.0 "" (Size 8)","Loose Fit","Loose fit",,,"Yes","No","No","No","No","alternative"
"casual chic",0.023693927283920793,0.8455638816851339,2.782500541244117E-7,3.6664442348634406E-5,0.12718492385283295,1.0069468358792962E-14,0.0035203244856996368,1490,2357,"Abercrombie & Fitch","EMEA BABYDOLL MINI ",50.99,2,"blue",,"100% polyester","98% polyester, 2% elastane","Machine wash at 30Â°C",,,,,"Square neckline","Floral","Bust darts, slip","Extra short","24.0 "" (Size S)","Long","30.5 "" (Size S)","Regular Fit","Regular fit",,"8.0 "" (Size S)","No","No","No","No","Yes","casual chic"
"edgy",2.7259232511498116E-4,7.083944226663373E-4,0.022800652708969568,0.9281182725486117,0.046498738514594275,2.4372424221631447E-10,0.0016013492363188449,1491,2358,"kate spade new york","LIPS TIE NECK SHIFT DRESS ",249.99,5,"black/red",,"100% polyester",,,"Bow/shawl collar",,"Button",,,"Prints in general",,"Extra short","23.0 "" (Size S)","Long","34.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S","11.5 "" (Size S)","No","No","No","No","No","alternative"
"classic",0.012866164515000566,0.01579374626978749,0.9712909681100225,4.183075829423383E-7,6.377310205200828E-6,2.9092923263351404E-7,4.203455816866195E-5,1492,2359,"Thought","LONDON FIELDS DRESS ",89.99,3,"white multi-coloured",,"50% lyocell, 27% viscose, 23% cotton",,"Machine wash at 30Â°C",,,"Button",,"Round neckline","Prints in general","Inseam pockets","Calf length","Short","Short",,"Regular Fit","Regular fit",,,"No","yes","No","No","No","classic"
"casual chic",0.02760634759253294,0.9722573627106447,5.562902975474411E-5,5.321040010764862E-5,2.71442299060896E-5,7.834211359684395E-14,3.06036975710624E-7,1493,2360,"Roxy","SUMMER OF SUN ",54.99,2,"black multi-coloured",,"100% viscose",,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",,,"Button",,"Low v-neck","Floral",,"Short","Short","Short","34.5 "" (Size S)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)","No","No","No","No","No","casual chic"
"trendy",2.7080353512683786E-8,5.517941770088516E-8,3.3674538076306617E-9,1.4869047960415644E-5,2.7138443965995613E-7,1.870018935382723E-13,0.9999847739401878,1494,2361,"Cras","YVONNECRAS DRESS ",169.99,4,"bright multi-coloured",,"100% polyester",,"Do not tumble dry, machine wash at 30Â°C",,,"Zip","Wrap dresses","Low v-neck","Prints in general","Button row, shoulder pads, bust darts, decorative buttons","Extra short","23.0 "" (Size 8)","Long","34.5 "" (Size 8)","Slim Fit","Slim fit","Our model is 5' 11""  tall and is wearing size 8","12.5 "" (Size 8)","No","No","No","yes","No","trendy"
"sporty",5.329977847960423E-12,2.7557895712548804E-19,6.236416085257568E-20,2.4006059571843683E-14,2.5747036663244926E-24,0.9999999999946461,1.9674230304372888E-19,1495,2362,"Superdry","Day dress",59.99,2,"black","Sweat","75% cotton, 25% polyester",,"Do not bleach, do not tumble dry","Hood",,,"Hooded dresses",,"Plain","Embroidery","Extra short","Extra long","Long",,"Loose Fit","Loose fit",,,"No","Yes","No","No","No","sporty"
"alternative",0.9972634566506462,4.580275025547403E-4,2.080118610323446E-4,0.0017979710703777717,2.6717824214151736E-4,7.017886181376417E-9,5.347655361224978E-6,1496,2363,"esmÃ© studios","ESGINNY   ",89.99,3,"burnt orange",,"100% cotton",,,,,"Button",,"Round neckline","Striped",,"Short","23.0 "" (Size S)","Long","36.5 "" (Size S)","Loose Fit","Loose fit","Our model is 5' 10""  tall and is wearing size S","15.5 "" (Size S)","No","No","No","No","No","edgy"
"alternative",0.9992709674189449,1.9317907092824743E-4,5.352939790007655E-4,3.1089474384138906E-7,1.609966401892015E-7,3.5224483052356296E-10,8.728749708303383E-8,1497,2364,"Esprit","AUSGESTELLTES  ",39.99,1,"grey",,"95% polyamide, 5% elastane","100% polyester","Do not bleach, do not tumble dry, machine wash at 30Â°C","Standing collar",,"Button",,,"Paisley","Underskirt","Calf length","Long","Long",,"Regular Fit","Regular fit",,,"No","No","No","No","No","alternative"
"classic",1.2042057592230483E-4,2.6237245801129728E-5,0.9853596370858885,9.711807160392429E-5,0.014061171203744473,2.572924353437066E-14,3.3541581701393815E-4,1498,2365,"Ralph Lauren","AGUSTIN SHORT SLEEVE DAY DRESS ",219.99,5,"multi-coloured","Chiffon","100% polyester","100% polyester","Machine wash at 30Â°C","Bow/shawl collar",,"Zip",,,"Paisley","Bust darts, slip, bow","Calf length","Short","Short","47.0 "" (Size 8)","Regular Fit","Regular fit","Our model is 5' 10""  tall and is wearing size 8","14.0 "" (Size 8)","No","No","No","No","No","alternative"
